Forecast timestamp;Position;Forecast base;Temperature;2 metre temperature;Total Precipitation;Relative humidity;Downward long-wave radiation flux;Downward short-wave radiation flux;Wind speed (gust);u-component of wind (gust);v-component of wind (gust);2 metre dewpoint temperature;Minimum temperature at 2 metres in the last 6 hours;Maximum temperature at 2 metres in the last 6 hours;Total Cloud Cover
2019-11-06T22:00:00+01:00;44.5,10.5;2019-11-05T01:00:00+01:00;5.442.102.050.781.270;6.314.630.126.953.140;58.515.625;958.151.912.689.209;47866797.0;12.736.512.000.000.000;0.6869063153862953;0.3662261962890625;0.5826416015625;5.699.929.809.570.330;;;0.5000000099999973
2019-11-06T22:00:00+01:00;44.5,12.5;2019-11-05T01:00:00+01:00;17.660.852.050.781.200;13.595.880.126.953.100;1.290.625;902.839.412.689.209;54257581.0;10.989.568.000.000.000;7.444.718.815.386.290;70.537.261.962.890.600;23.795.166.015.625;12.043.679.809.570.300;;;9.500.000.009.999.990
2019-11-06T22:00:00+01:00;44.5,12.0;2019-11-05T01:00:00+01:00;9.160.852.050.781.270;9.845.880.126.953.140;27.109.375;969.089.412.689.209;52152237.0;13.473.792.000.000.000;4.077.531.315.386.290;40.068.511.962.890.600;-0.7611083984375;9.356.179.809.570.330;;;10.000.000.009.999.900
2019-11-06T22:00:00+01:00;45.5,12.0;2019-11-05T01:00:00+01:00;8.785.852.050.781.270;9.439.630.126.953.140;116.640.625;990.026.912.689.209;56857517.0;9.472.000.000.000.000;28.197.188.153.862.900;28.037.261.962.890.600;0.2076416015625;9.262.429.809.570.330;;;48.000.000.009.999.900
2019-11-06T22:00:00+01:00;45.5,11.0;2019-11-05T01:00:00+01:00;7.442.102.050.781.270;8.158.380.126.953.140;73.203.125;870.339.412.689.209;52521901.0;8.697.856.000.000.000;23.275.313.153.862.900;-10.400.238.037.109.300;-20.892.333.984.375;6.137.429.809.570.330;;;53.500.000.009.999.900
2019-11-06T22:00:00+01:00;45.0,11.5;2019-11-05T01:00:00+01:00;8.629.602.050.781.270;9.345.880.126.953.140;48.671.875;979.089.412.689.209;55338925.0;9.996.288.000.000.000;4.952.531.315.386.290;41.787.261.962.890.600;-26.517.333.984.375;9.043.679.809.570.330;;;28.500.000.009.999.900
2019-11-06T10:00:00+01:00;45.5,12.5;2019-11-05T01:00:00+01:00;15.376.626.586.914.000;12.560.906.982.421.800;110.546.875;9.435.431.098.937.980;42435418.0;5.900.288.000.000.000;4.173.026.517.033.570;360.528.564.453.125;2.106.475.830.078.120;11.677.163.696.289.000;;;8.750.000.001
2019-11-06T10:00:00+01:00;44.5,11.0;2019-11-05T01:00:00+01:00;9.876.626.586.914.080;9.748.406.982.421.890;22.578.125;8.294.806.098.937.980;37863258.0;6.299.648.000.000.000;1.329.276.517.033.570;-0.01971435546875;1.340.850.830.078.120;6.989.663.696.289.080;;;10.000.000.001
2019-11-06T10:00:00+01:00;45.5,10.5;2019-11-05T01:00:00+01:00;11.532.876.586.914.000;10.967.156.982.421.800;1.341.015.625;9.491.681.098.937.980;42404698.0;2.650.112.000.000.000;3.251.151.517.033.570;-316.033.935.546.875;-0.799774169921875;10.208.413.696.289.000;;;9.550.000.001
2019-11-06T10:00:00+01:00;45.5,12.0;2019-11-05T01:00:00+01:00;13.032.876.586.914.000;10.810.906.982.421.800;1.126.953.125;9.704.181.098.937.980;42829658.0;4.643.840.000.000.000;2.548.026.517.033.570;107.403.564.453.125;2.325.225.830.078.120;10.364.663.696.289.000;;;8.850.000.001
2019-11-06T10:00:00+01:00;45.0,12.0;2019-11-05T01:00:00+01:00;13.157.876.586.914.000;9.217.156.982.421.890;305.859.375;9.954.181.098.937.980;39531354.0;8.228.864.000.000.000;2.048.026.517.033.570;0.35528564453125;-2.018.524.169.921.870;9.145.913.696.289.080;;;9.900.000.001
2019-11-06T10:00:00+01:00;45.5,11.5;2019-11-05T01:00:00+01:00;11.501.626.586.914.000;10.248.406.982.421.800;1.472.265.625;9.894.806.098.937.980;42152794.0;17.909.760.000.000.000;1.891.776.517.033.570;0.30841064453125;-1.862.274.169.921.870;10.083.413.696.289.000;;;9.850.000.001
2019-11-06T10:00:00+01:00;45.0,10.5;2019-11-05T01:00:00+01:00;13.345.376.586.914.000;11.342.156.982.421.800;216.796.875;9.682.306.098.937.980;41766746.0;3.905.536.000.000.000;3.985.526.517.033.570;-278.533.935.546.875;2.840.850.830.078.120;10.864.663.696.289.000;;;10.000.000.001
2019-11-06T10:00:00+01:00;44.5,11.5;2019-11-05T01:00:00+01:00;12.064.126.586.914.000;8.029.656.982.421.890;124.609.375;9.651.056.098.937.980;38441818.0;8.790.016.000.000.000;2.985.526.517.033.570;221.466.064.453.125;-2.002.899.169.921.870;7.520.913.696.289.080;;;10.000.000.001
2019-11-06T10:00:00+01:00;45.0,11.0;2019-11-05T01:00:00+01:00;14.626.626.586.914.000;11.748.406.982.421.800;624.609.375;9.382.306.098.937.980;42474330.0;5.644.288.000.000.000;4.063.651.517.033.570;-259.783.935.546.875;3.137.725.830.078.120;10.770.913.696.289.000;;;10.000.000.001
2019-11-06T10:00:00+01:00;45.0,11.5;2019-11-05T01:00:00+01:00;13.657.876.586.914.000;9.967.156.982.421.890;465.625;9.963.556.098.937.980;41314138.0;6.011.904.000.000.000;1.641.776.517.033.570;-156.658.935.546.875;-0.487274169921875;9.895.913.696.289.080;;;9.900.000.001
2019-11-06T10:00:00+01:00;44.5,10.5;2019-11-05T01:00:00+01:00;12.907.876.586.914.000;12.435.906.982.421.800;55.703.125;5.838.556.098.937.980;35205978.0;8.691.712.000.000.000;6.485.526.517.033.570;540.216.064.453.125;3.590.850.830.078.120;4.520.913.696.289.080;;;10.000.000.001
2019-11-06T10:00:00+01:00;44.5,12.0;2019-11-05T01:00:00+01:00;16.314.126.586.914.000;16.060.906.982.421.800;205.078.125;5.560.431.098.937.980;38838106.0;7.560.192.000.000.000;9.079.276.517.033.570;229.278.564.453.125;8.778.350.830.078.120;7.177.163.696.289.080;;;49.500.000.009.999.900
2019-11-06T10:00:00+01:00;44.5,12.5;2019-11-05T01:00:00+01:00;17.657.876.586.914.000;16.842.156.982.421.800;108.984.375;5.513.556.098.937.980;40411994.0;6.439.936.000.000.000;8.579.276.517.033.570;323.028.564.453.125;7.950.225.830.078.120;7.770.913.696.289.080;;;7.000.000.001
2019-11-06T10:00:00+01:00;45.5,11.0;2019-11-05T01:00:00+01:00;11.220.376.586.914.000;10.685.906.982.421.800;696.484.375;9.091.681.098.937.980;39456602.0;2.934.784.000.000.000;2.548.026.517.033.570;-245.721.435.546.875;-0.674774169921875;9.270.913.696.289.080;;;7.900.000.001
